2025-03-08 16:47:52,259:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.17, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 191, Active Whale Moves (>0.2): 1248
2025-03-08 16:53:03,407:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.17, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 191, Active Whale Moves (>0.2): 1248
2025-03-08 16:56:55,312:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.17, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 191, Active Whale Moves (>0.2): 1248
2025-03-08 17:02:07,230:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.20, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 192, Active Whale Moves (>0.2): 1247
2025-03-08 17:05:12,946:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.20, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 192, Active Whale Moves (>0.2): 1247
2025-03-08 17:07:48,861:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.20, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 192, Active Whale Moves (>0.2): 1247
2025-03-08 17:21:22,848:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.20, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 192, Active Whale Moves (>0.2): 1247
2025-03-08 17:27:38,365:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.20, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 192, Active Whale Moves (>0.2): 1247
2025-03-08 19:47:27,369:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.25, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 194, Active Whale Moves (>0.2): 1245
2025-03-08 19:52:33,091:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.27, Fear & Greed Mean: 52.25, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 194, Active Whale Moves (>0.2): 1245
2025-03-08 20:03:00,103:INFO:Sentiment Summary: Sentiment Score Mean: 0.30, X Sentiment Mean: 0.26, Fear & Greed Mean: 52.27, Whale Moves Mean: 0.77, Positive Sentiment Score: 1439, Positive X Sentiment: 1302, Extreme Fear (<30): 108, Extreme Greed (>70): 195, Active Whale Moves (>0.2): 1244
